Company ID,Company Name,Broker ORN
97a9195d-f176-4079-9b35-1f0900bbc422,Dynasty Real Estate,23166
49ea98a1-ac46-417a-8156-8c5818f77497,RATHORE REAL ESTATE L.L.C,32253
93d8f84a-7d18-4241-82a6-9145ebe6e353,Edge Realty Real Estate,12040
ccb0240f-d491-4695-9892-6980de833416,Property Zone Real Estate,11669
e839f3db-ec5c-4252-bffd-42cc90af7f7b,K&S PROPERTIES L.L.C,10626
3ec818d7-4f27-4214-a65e-cdee0288483b,ENGEL & VÖLKERS Dubai - S2,16081
c3ca9099-cdd3-445f-a5d3-84f097715500,LUXFolio Real Estate Brokers LLC,23275
ff1295b0-f48a-4bf6-81b8-4eae43d8405b,PK Properties,160
96b4309c-3d15-4f2f-a307-da82b7502bdd,,
030b5d7d-def1-439f-b6c1-de4911e3f22e,Prestige Luxury Real Estate,966265
cf6749ec-4f43-47c3-9004-b05e0dedd062,EAST PORCH REAL ESTATE,1039157
2cdcfbd3-d6fe-47a9-88b3-9561b7cbbd82,Rapid Deals Real Estate Brokers,12756
d1fb8965-19ff-4f1b-b87b-4e7141bafb11,Leon Properties Real Estate,30354
56a4615a-c458-4fad-9497-48cf1645ba63,EVA Real Estate LLC,25800
2d86dea9-943a-420a-844d-0c0abd69068e,Betterhomes - Motor City,97
1d217aa6-d605-4ceb-b2cf-495f598ee50c,Standpoint Real Estate,26600
c479ef75-42c3-44a5-a32b-90cc10d85405,Union Square House Real Estate,2443
2298b654-acff-4a69-bb7f-adbb42668167,YAS Properties LLC - RAK,
eeff3977-8c13-44d7-bf23-ff3ac408574c,Maria Morris Real Estate,28162
d52322d6-76d7-49c8-945f-c66d9856ca5f,MHM Properties,866659
2a92939c-bd04-43fb-bcca-32f73bca786f,Bay View Real Estate Brokers,29291
29130cb4-6890-45d6-99ff-1444a551e7a6,Exclusive Links Real Estate Brokers,708
6ac1ff3f-896e-42e6-b273-6774c257ab27,Azco Real Estate - Dubai Marina,752
b9f79fb4-98a6-4c65-817d-759d976730d2,Valorem Real Estate,1057
10bad475-2ead-401b-88e5-71c17dcbf1a6,Luxe Haven Real Estate,27949
a367f6ce-8e6f-42c7-a0df-1217f0d68dd6,Homes 4 Life - Town Square,1760
f8021aca-44ee-49c1-bb13-2a3a7b79c171,AQUA Properties,303
c7f42af2-e3fb-4664-be9e-3d13ea7a947c,Azco Real Estate - JVC Primary,752
f07c2077-274a-49cc-a269-ff4a33ea479c,Five Pillars Real Estate,20487
b84ccb43-713e-443f-9f02-a1d176669866,RIO Real Estate Broker,18803
e3bd247d-7915-4cce-94fa-8d18d5f7d8ed,Signature Properties LLC,
de30a2f6-11b5-4faf-aae7-820cc4f1bae3,Coldwell Banker - Onyx 1,1201
c5ad9bb6-88c9-4bc7-92ed-9148ffdcb83c,SP Real Estate Investment,1851
df675b05-1dd4-4165-9ca8-463c48265043,Eminence Real Estate,642143
6ce98d5b-7c14-4eed-8e9a-6e6f51a47107,NSH,
df88d3f3-dca3-4467-afc2-dcb2bbbe9f92,BlackOak Real Estate,989799
a488ea0e-4dc3-4bae-8091-17bfd4ae138f,Vision Real Estate,
9a794b2c-2369-4196-aa1a-99a27632cc9b,City Edge,
c2aa9357-fcf1-4972-bdfe-eaa21ec87c10,Altitude Real Estate,28924
c772163c-e2bf-43a6-a973-5e9e4ed7d6b8,Point Blank Properties,31053
45f9eca8-03f0-4e53-8bff-aa2bb4d4bc03,Best Luxury Properties LLC,22588
09c56ac6-d75c-4470-b5dd-3b7763d5d098,Arab Vision Real Estate,134
89df70bf-6fc4-4c53-8c10-ec2a40294c6b,Property Network,419
8a1f6d19-7446-428b-8ee4-667ad30cc1b2,Braavos Real Estate,23772
012de094-d986-497b-b3ff-3469c59c8457,Phoenix Homes,26497
0b6bd4b8-dc4b-4007-97c0-2f9dd61387b1,A1 Properties LLC,12095
6004bc79-d8df-4944-b915-3e9cba96ca87,Stone House Real Estate LLC,11721
14b31249-43a5-4716-b6dc-d9e6b4846679,LIVE LARGE,29551
c1ebaa97-8fea-4cf5-a7de-374268b44a60,Seven Line Real Estate Broker,20125
826d4c8b-f2b2-402e-8b70-6ea3322b0458,Dream Catcher Real Estate Management,
8c4c7fe5-2e66-4377-b36e-94dd9712ae21,DKH Real Estate Brokerage LLC,29387
00c3e326-4c0f-4b2b-b9ab-1d9d0c3c1588,Driven Properties,11917
d5ee4637-8b58-40c9-9e56-1e1e226216f2,Trinity Homes,34422
3f7ca215-a9d4-484b-a761-eb58e8d3ebb4,HMS Homes,15570
377d0d5a-3141-41e9-ac03-2eedddc063f0,TJ Real Estate Brokers,11644
7dae66df-01af-41d1-8393-9fa226211223,One Direction Real Estate,30288
2c30ae76-1dd6-4769-aff0-2f2364a6d315,Aston Pearl Real Estate,2169
33a3a250-23b8-45fc-b00d-231719f5dc25,Foot Print Real Estate,2035
dd3752d1-b072-4bf5-893e-fff56a02fb41,M and T Realty Real Estate Brokers,815838
2a48c7b1-f598-4895-9f6b-405816addbcc,ORANGE LIFE REAL ESTATE L.L.C,30298
1b761d18-7c00-45e6-b64f-679d0485dd28,fam Properties - Branch 12,1858
29eed2dd-5fb6-493e-8ecf-f1a835f4ca27,Sycamore Real Estate,29487
ca7f84e3-28c5-4627-a23b-906253d0c0f3,The Urban Nest Real Estate Broker LLC,12726
442c00e5-ce4b-49a8-809f-8f8d3ab31fea,Luxury Homes Real Estate - Dubai,25972
1b5988b7-1b91-4c12-a8b3-0203c8dab71a,Elite Property Brokerage,25831
64e227db-e722-43f1-8fdd-9098376057f6,Powerhouse Real Estate - Branch 3,1009188
9a21806b-d873-4db5-a3a6-24a24bf2ceeb,GETHOME REAL ESTATE BROKERAGE L.L.C,32239
6ed02ebd-271b-43a5-9e15-d93d2917caf5,Tamani Properties,17199
da40bccd-309a-4959-a9e2-6f33af63aba0,Dahdah Real Estate,26366
eb29ed3f-414f-4213-b4ec-0ed1242e3d63,Landmark Asset Management FZ-LLC - RAK,
006a9f35-904d-478f-a652-0cd8238260b3,McCone Properties,12065
2523d21e-776d-46ea-94fc-13346bc6e17a,Azco Real Estate - Business bay 2,752
87ff67d9-bc87-4650-98b0-dead722144d3,Project Brokerage,27536
fb7f0afa-488c-49ea-a7df-5f6993f9c17d,Vibe Real Estate FZ LLC,
6726eaf8-1a69-4532-a296-a399b914f3a5,Harbor Real Estate,2004
88d034d3-e2f5-4e45-bb30-76002048e4cf,Raine & Horne,15568
e6ed1b07-6910-4c9d-b7fa-ba9b4fa2425e,Xperience Realty Real Estate,29027
cd1f412d-874e-42c6-abe3-442c2fb19b83,APG REAL ESTATE,31445
00150eaf-e777-457e-af54-e04183925a79,Knight Frank,11964
95f9d6ab-4cf0-43fa-842a-ddf7fb64747e,Olive Branch Properties,1135291
75932c62-4a16-49ae-8f55-af91e3b8f196,VIBGYOR Real Estate,1881
5317442e-34a3-42d6-a780-b55da66ac0b0,Al Mubarakiya Real Estate - RAK,
9cec782f-3fee-4589-b991-cd0010a1e783,EMPIRES HEIGHTS PROPERTIES,17425
b15d7142-6a45-4278-bb38-6a78d1d99014,Key Clue Commercial Broker,845117
989012c8-b738-42a9-bddc-76017f19d1d0,Smart Living Properties,27958
8aae017d-bebb-470c-b57a-f458dfa5da2a,The One Properties,
c887c77b-1671-4976-bcd1-40a3e6794557,Tree House Real Estate L.L.C,26446
96353f69-a26e-4b3a-a24e-ba621315798f,Black Brick,414932
2de77873-0e1a-49ef-a0f5-d469b6cbf41c,S R H PROPERTIES,11642
eb00be97-871b-46d7-91de-28ade59ecb0e,Unique Asset Experts Real Estate,21537
54463574-78bf-4bd3-ab43-76ba324985d5,Betterhomes - Abu Dhabi,
d9a99e93-8d46-4d4c-9362-9c445c7a6990,ESTATE HILLS PROPERTIES L.L.C,26472
51220015-5203-4a61-845b-47123e5972cd,The Vault Real Estate,23286
5c8e8ecd-e4a1-4109-9b4a-6fa40f81ea89,Penthouse Properties LLC,16806
ddf80a50-20ff-465f-9b7d-ad78b0c26dce,Dream City,
3df46032-f67a-41ae-ba60-dc69c12fcebc,METROPOLITAN CAPITAL REAL ESTATE - SOLE PROPRIETORSHIP L.L.C.,
045bfcca-2316-4cdf-8086-5184654b9b62,Metropolitan Premium Properties,11899
a648e075-466d-4103-976d-987d41e407f1,Dacha Real Estate,393
30ea8f06-803f-4f42-ada8-b7d8e8452594,Stellar Properties LLC,
ac3e04ab-ee48-4d33-8b06-d3bf98884570,Serdar Properties,30683
40f45f7d-c59e-4c1c-8b55-a130463de2f7,The Royal Nest Real Estate,22515
9510cbc0-8f4f-4f31-8c74-b585f2c44f53,100% Property,27619
1015f363-5d20-4754-8af9-e8004da1da9a,Amber Homes Real Estate,18690
0edc026c-6574-4453-9903-680278c4a705,LUXUS INTERNATIONAL REAL ESTATE L.L.C,32771
05a25ce3-b824-404a-857d-40b7ee5ce433,ALH PROPERTIES,23372
b3060da3-b979-4232-824e-eac91eb009b2,ABU RAMI REAL ESTATE INVESTMENT L.L.C,
e51ee03a-842c-4074-a619-98b481f61207,Marea Capital Properties,31413
c242755b-bbfe-49a6-8e38-aff6cead5b2a,Wellington Home Real Estate,29858
