Agent ID,Agent Name,Agent Type,Total Properties_x,Spoken Languages by Agent,Agent BRN,Company ID,Designation,Total Properties_y
8efa6bec-c46e-4917-a48d-2227f6f5ec24,Larysa Kadyka,REGULAR,"1,215",['English'],51773,f2f20d50-76f8-4081-a4b4-50e379ca85d8,Property Consultant,"1,213"
164236db-2d9b-4689-b403-d7b2f1d12889,Danny Langston,SUPERAGENT,93,['English'],38554,aeab4bac-1a34-450a-b27e-0c280b08753b,Property Consultant,94
f7031452-83f8-4538-9efd-05059dc619c4,Munawar Iqbal,SUPERAGENT,264,"['English', 'Hindi', 'Urdu']",45265,7f09030a-2497-43d0-8a86-188d61ea34f8,sales & Leasing Advisor,264
a07279c4-f299-418f-9777-158cddf0448f,Mahmoud Elshamy,REGULAR,121,"['English', 'Arabic']",48977,d69f81eb-3c7a-42fe-ad32-f193b5964cad,Founder and CEO,118
4bd4f746-e31e-46c2-90b7-8dd3cade8b11,Mohamed El Kohli,SUPERAGENT,266,"['English', 'Arabic', 'French']",,6d22f706-6bbd-4c5d-b66e-0f8fcf091b00,Sales and Leasing Manager,266
37790bac-e9c6-4d60-a3e2-3c6a2d088bd9,Shaimaa Eissa,SUPERAGENT,921,"['English', 'Arabic']",,7ab3abf6-e85c-4e44-abcb-7192cd072f6c,Agent,921
ddfa2c77-2dae-4feb-a4cd-2a374af9f850,Emine Sidzhimova,SuperAgent,"1,215","['English', 'Bulgarian']",48356,f2f20d50-76f8-4081-a4b4-50e379ca85d8,Property Consultant,"1,213"
db7be6cf-ec82-47b1-aca5-914419df2537,Mehmood Pervez,REGULAR,924,"['English', 'Hindi', 'Urdu']",46174,13811c85-1501-49cc-8937-64a5b5890401,Investment Manager,924
2747bb15-f6db-4758-9876-44f671aca68a,Amr Aboushaban,REGULAR,378,"['English', 'Arabic']",47632,2036af3e-c8d9-4ff8-8eba-df9ac3f6ffb3,CEO of Allegiance Real Estate,378
5b19f499-3e05-45cb-99cd-8a718f23c514,Ionela Costache,SUPERAGENT,940,"['English', 'Greek', 'Romanian']",55169,9d759023-4f59-4a9d-9f9a-8088ff172ab3,Property Consultant,987
9f07f697-b875-4abd-8221-3456d5d9be16,Victoria Parkhomets,REGULAR,892,"['English', 'Russian']",56523,4f869f17-f152-4f4b-b86d-62fb88503946,Real estate Sales Agent,879
4983a0c6-e86a-4fdf-b093-997187392380,Rameshwari Bhalekar,SUPERAGENT,109,"['English', 'Hindi', 'Urdu']",49008,8b92a834-d92c-4509-9b33-bd283ec113e5,Senior Client Manager,109
